ID,total_length_of_exons,mean,std,min,25%,50%,75%,max,sample_name
59,1545,291.4640776699029,43.343864392922995,173,263.0,297.0,317.0,387,PVAL_72_S8
60,2346,368.3226768968457,49.85166368871414,241,334.0,364.0,407.0,470,PVAL_72_S8
61,2346,368.3226768968457,49.85166368871414,241,334.0,364.0,407.0,470,PVAL_72_S8
62,2325,368.741935483871,49.83097575939618,241,334.0,365.0,408.0,470,PVAL_72_S8
63,2346,368.3226768968457,49.85166368871414,241,334.0,364.0,407.0,470,PVAL_72_S8
64,2568,348.14992211838006,41.309841814864846,233,320.0,351.0,377.0,446,PVAL_72_S8
65,2568,348.14992211838006,41.309841814864846,233,320.0,351.0,377.0,446,PVAL_72_S8
66,2568,348.14992211838006,41.309841814864846,233,320.0,351.0,377.0,446,PVAL_72_S8
67,2568,348.14992211838006,41.309841814864846,233,320.0,351.0,377.0,446,PVAL_72_S8
68,3078,336.454840805718,44.59137851263915,208,307.0,339.0,367.0,450,PVAL_72_S8
69,522,319.7547892720307,36.05206868518671,242,295.0,319.0,347.75,391,PVAL_72_S8
70,3276,311.0912698412698,56.97854346474742,39,287.0,316.0,346.0,413,PVAL_72_S8
71,3411,311.1029023746702,56.09082203967907,39,287.0,316.0,345.0,413,PVAL_72_S8
72,3498,312.53887935963405,56.52645128355201,39,287.0,318.0,347.0,413,PVAL_72_S8
73,3474,318.86039147956245,39.267044015495046,213,290.0,319.0,346.75,413,PVAL_72_S8
74,2832,307.27966101694915,58.10851281186035,39,284.75,314.5,340.25,403,PVAL_72_S8
75,3633,312.49600880814756,55.70415331077574,39,288.0,318.0,346.0,413,PVAL_72_S8
76,1887,302.89931107578167,66.88280085662166,39,281.0,311.0,338.0,413,PVAL_72_S8
77,1218,303.0706075533662,79.97821153448645,39,281.0,314.0,351.0,413,PVAL_72_S8
78,2118,301.2020774315392,63.5427822244171,39,281.25,304.5,335.0,413,PVAL_72_S8
79,3678,316.5663404023926,47.153691025804484,170,286.0,324.0,353.0,408,PVAL_72_S8
80,3723,316.26564598442116,46.95271346241292,170,286.0,323.0,353.0,408,PVAL_72_S8
81,3168,302.91319444444446,58.445003898794454,49,273.0,314.0,345.0,389,PVAL_72_S8
82,1812,311.93101545253865,49.74388506149632,170,275.75,321.5,352.0,389,PVAL_72_S8
83,3678,316.5663404023926,47.153691025804484,170,286.0,324.0,353.0,408,PVAL_72_S8
84,3678,316.5663404023926,47.153691025804484,170,286.0,324.0,353.0,408,PVAL_72_S8
85,3885,302.1956241956242,78.16598062249618,0,278.0,320.0,352.0,408,PVAL_72_S8
86,3870,304.61240310077517,71.29556643938987,38,278.0,320.0,352.0,408,PVAL_72_S8
87,3849,302.51519875292286,78.45431381215577,0,279.0,320.0,352.0,408,PVAL_72_S8
88,3843,309.12516263335937,60.291286680171176,49,279.0,321.0,352.0,408,PVAL_72_S8
89,3798,310.955766192733,58.40756281893937,49,282.0,321.0,352.0,408,PVAL_72_S8
90,3789,311.5283716020058,58.06678827654506,49,283.0,321.0,352.0,408,PVAL_72_S8
91,3765,311.66693227091633,58.11285315371444,49,283.0,322.0,352.0,408,PVAL_72_S8
92,3759,311.6634743282788,58.25179624332211,49,283.0,322.0,352.5,408,PVAL_72_S8
93,3732,311.9750803858521,58.338072108392566,49,284.0,323.0,353.0,408,PVAL_72_S8
94,3726,312.0169082125604,58.37562223293709,49,284.0,323.0,353.0,408,PVAL_72_S8
95,3726,312.13150831991413,58.29496751720291,49,285.0,323.0,353.0,408,PVAL_72_S8
96,3720,311.4991935483871,58.593779323562124,49,282.0,323.0,353.0,408,PVAL_72_S8
97,3681,311.67318663406684,58.736237619142635,49,283.0,323.0,353.0,408,PVAL_72_S8
98,3669,312.4265467429817,58.71975532861638,49,285.0,324.0,353.0,408,PVAL_72_S8
99,3612,310.4119601328904,58.968402569616615,49,280.75,321.0,352.0,408,PVAL_72_S8
100,3588,313.2812151616499,58.78079006536609,49,287.0,326.0,354.0,408,PVAL_72_S8
101,3582,310.5963149078727,59.256871215015245,49,281.0,320.0,353.0,408,PVAL_72_S8
102,3564,310.3381032547699,59.35761834289213,49,280.0,321.0,352.0,408,PVAL_72_S8
103,3510,308.6669515669516,59.08117997162937,49,279.0,318.0,350.0,408,PVAL_72_S8
104,3126,303.34740882917464,58.70052732713468,49,274.0,314.0,346.0,389,PVAL_72_S8
105,2940,309.6486394557823,62.71431047102148,49,279.75,320.5,354.0,408,PVAL_72_S8
106,2817,311.1803336883209,63.55836389981705,49,280.0,324.0,356.0,408,PVAL_72_S8
107,2730,315.3663003663004,60.38936718172251,49,290.25,330.0,354.0,408,PVAL_72_S8
108,3768,311.5552016985138,58.2244508650483,49,283.0,322.0,352.0,408,PVAL_72_S8
109,1788,322.9647651006711,70.11920771474503,54,295.0,333.0,369.0,437,PVAL_72_S8
110,1788,322.9647651006711,70.11920771474504,54,295.0,333.0,369.0,437,PVAL_72_S8
111,1788,322.9647651006711,70.11920771474503,54,295.0,333.0,369.0,437,PVAL_72_S8
112,1788,322.9647651006711,70.11920771474503,54,295.0,333.0,369.0,437,PVAL_72_S8
113,1794,322.7413600891862,70.10858437811507,54,294.0,333.0,369.0,437,PVAL_72_S8
114,1785,323.0341736694678,70.15764965133786,54,295.0,333.0,369.0,437,PVAL_72_S8
115,933,336.88210075026797,45.95954826006026,248,302.0,331.0,369.0,437,PVAL_72_S8
116,1788,322.9647651006711,70.11920771474503,54,295.0,333.0,369.0,437,PVAL_72_S8
117,1788,322.9647651006711,70.11920771474503,54,295.0,333.0,369.0,437,PVAL_72_S8
118,1401,312.8693790149893,73.25776943856604,54,285.0,323.0,359.0,437,PVAL_72_S8
119,1401,312.8693790149893,73.25776943856604,54,285.0,323.0,359.0,437,PVAL_72_S8
120,1401,312.8693790149893,73.25776943856604,54,285.0,323.0,359.0,437,PVAL_72_S8
121,2463,332.1153065367438,43.92663023269766,202,300.0,332.0,365.0,421,PVAL_72_S8
122,2439,331.319803198032,44.93712019857749,202,297.0,332.0,365.0,421,PVAL_72_S8
123,2463,332.00284206252536,44.128030718439675,202,300.0,332.0,365.0,421,PVAL_72_S8
124,2202,332.2747502270663,43.996172937279944,202,300.0,331.0,364.0,421,PVAL_72_S8
125,2562,330.9871194379391,43.98127363626791,202,300.0,330.0,364.0,421,PVAL_72_S8
126,2493,324.23144805455274,43.54090461840422,202,293.0,325.0,357.0,421,PVAL_72_S8
127,2190,332.7068493150685,43.69239101961155,202,301.0,331.0,364.0,421,PVAL_72_S8
128,2487,324.45798150381984,43.347588384730045,202,293.0,325.0,357.0,421,PVAL_72_S8
129,2226,323.7178796046721,43.29144933810876,202,293.0,324.0,355.0,421,PVAL_72_S8
130,2463,332.00284206252536,44.128030718439675,202,300.0,332.0,365.0,421,PVAL_72_S8
131,2202,332.2747502270663,43.99617293727995,202,300.0,331.0,364.0,421,PVAL_72_S8
132,2196,332.42714025500914,43.95933792305819,202,300.75,331.0,364.0,421,PVAL_72_S8
133,2469,331.86796273795056,44.15907481038095,202,300.0,332.0,365.0,421,PVAL_72_S8
134,2466,301.330900243309,55.72701496507263,163,257.0,303.5,339.0,445,PVAL_72_S8
135,2310,293.26493506493506,50.88125877446342,163,252.0,290.5,335.0,412,PVAL_72_S8
136,2130,298.7906103286385,57.44297972170251,163,252.0,298.0,337.0,445,PVAL_72_S8
137,2124,296.1902071563089,51.95314366112603,163,253.75,300.0,337.0,412,PVAL_72_S8
138,2121,303.65063649222066,57.03014810805564,163,258.0,305.0,342.0,445,PVAL_72_S8
139,2118,296.1694995278565,54.48270127004024,163,252.0,297.5,336.0,445,PVAL_72_S8
140,2115,303.612293144208,57.10604452983954,163,258.0,305.0,342.0,445,PVAL_72_S8
141,2043,292.22026431718064,52.081976373842785,163,251.0,286.0,335.0,412,PVAL_72_S8
142,1782,305.99943883277217,58.77472002869856,163,260.25,308.0,346.0,445,PVAL_72_S8
143,2460,301.29227642276425,55.789089164509804,163,257.0,303.0,339.0,445,PVAL_72_S8
144,2469,299.9603078169299,56.14283456362673,163,254.0,299.0,339.0,445,PVAL_72_S8
145,2199,301.33969986357437,57.374943107101906,163,255.5,302.0,341.0,445,PVAL_72_S8
146,2421,265.28087567121025,86.2751676169456,11,220.0,282.0,327.0,389,PVAL_72_S8
147,2427,263.58838071693447,87.16735803508242,11,210.0,281.0,327.0,389,PVAL_72_S8
148,2424,265.253300330033,86.22533435484475,11,220.0,281.0,327.0,389,PVAL_72_S8
149,2379,263.9810844892812,86.73270363148545,11,218.0,275.0,327.0,389,PVAL_72_S8
150,2085,268.53237410071944,91.87511621350896,11,207.0,301.0,334.0,389,PVAL_72_S8
151,2982,299.27062374245475,51.31629529278455,7,276.0,304.0,333.0,385,PVAL_72_S8
152,1080,229.90740740740742,69.573177354308,48,219.0,256.0,276.0,303,PVAL_72_S8
153,1080,298.3222222222222,74.06406981836693,97,272.0,305.0,342.0,428,PVAL_72_S8
154,1185,309.2590717299578,95.65617741606552,45,292.0,337.0,371.0,423,PVAL_72_S8
155,1188,309.2651515151515,95.53535351859597,45,292.0,337.0,371.0,423,PVAL_72_S8
156,1140,309.91491228070174,97.4632356633128,45,294.0,342.0,372.0,423,PVAL_72_S8
157,1881,324.7485380116959,112.51957763098416,88,259.0,334.0,419.0,495,PVAL_72_S8
158,1008,343.61805555555554,38.809901983195886,252,312.75,352.0,374.0,423,PVAL_72_S8
159,264,172.5568181818182,110.92684445280047,45,70.0,86.0,291.25,314,PVAL_72_S8
160,1008,343.61805555555554,38.809901983195886,252,312.75,352.0,374.0,423,PVAL_72_S8
161,1881,324.7485380116959,112.51957763098416,88,259.0,334.0,419.0,495,PVAL_72_S8
162,738,301.4891598915989,39.690533089545895,207,263.0,309.0,342.0,360,PVAL_72_S8
163,3114,332.30989081567117,91.74097594487768,88,289.0,342.0,399.75,495,PVAL_72_S8
164,1143,309.91951006124236,97.33523324718236,45,294.0,342.0,372.0,423,PVAL_72_S8
165,570,330.0105263157895,32.96384387836836,249,307.25,327.0,362.0,388,PVAL_72_S8
166,333,317.9069069069069,35.91330399668311,249,289.0,310.0,347.0,380,PVAL_72_S8
167,570,330.0105263157895,32.96384387836836,249,307.25,327.0,362.0,388,PVAL_72_S8
168,513,331.6393762183236,33.11356773831742,262,305.0,328.0,366.0,388,PVAL_72_S8
169,1245,315.90281124497994,43.056935686832915,200,280.0,322.0,346.0,401,PVAL_72_S8
170,1245,315.90281124497994,43.056935686832915,200,280.0,322.0,346.0,401,PVAL_72_S8
171,1245,315.90281124497994,43.056935686832915,200,280.0,322.0,346.0,401,PVAL_72_S8
172,1203,327.75893599334995,36.86967301479672,210,302.0,329.0,350.5,427,PVAL_72_S8
173,969,331.3095975232198,36.82305131579421,235,303.0,330.0,356.0,427,PVAL_72_S8
174,1359,302.16188373804266,88.89393319592156,11,294.0,324.0,347.0,427,PVAL_72_S8
175,2931,325.3261685431593,42.647336191805785,192,300.0,336.0,355.0,404,PVAL_72_S8
176,2919,325.65159301130524,42.43050468622213,192,301.0,336.0,355.0,404,PVAL_72_S8
177,2934,325.233469665985,42.72396942397651,192,300.0,336.0,355.0,404,PVAL_72_S8
178,2928,325.3306010928962,42.66895305985943,192,300.0,336.0,355.0,404,PVAL_72_S8
179,2916,325.656378600823,42.452062325205475,192,301.0,336.0,355.25,404,PVAL_72_S8
180,2922,325.55817932922656,42.50878077330144,192,301.0,336.0,355.0,404,PVAL_72_S8
181,2931,325.23780279768,42.745613316839545,192,300.0,336.0,355.0,404,PVAL_72_S8
182,2919,325.5628639945187,42.53036738918941,192,301.0,336.0,355.0,404,PVAL_72_S8
183,570,301.88947368421054,35.365777268872066,224,275.0,304.5,334.75,360,PVAL_72_S8
184,567,292.358024691358,43.88360610908359,193,254.0,294.0,335.0,360,PVAL_72_S8
185,567,292.358024691358,43.88360610908359,193,254.0,294.0,335.0,360,PVAL_72_S8
186,570,301.88947368421054,35.365777268872066,224,275.0,304.5,334.75,360,PVAL_72_S8
187,1182,313.6345177664975,40.47219293638165,218,280.0,318.0,344.0,389,PVAL_72_S8
188,1203,260.06400665004156,66.42846146108216,44,229.5,272.0,304.0,381,PVAL_72_S8
189,1335,326.0988764044944,53.629573424213646,215,280.0,316.0,381.0,420,PVAL_72_S8
190,1329,325.00376222723855,54.27346656131314,215,280.0,313.0,381.0,420,PVAL_72_S8
191,888,342.64527027027026,55.1794986287796,219,286.0,364.0,394.0,420,PVAL_72_S8
192,966,339.0600414078675,54.39801998071362,219,286.0,344.0,392.0,420,PVAL_72_S8
193,1476,323.81639566395665,52.03283997712118,215,281.0,313.0,376.0,420,PVAL_72_S8
194,1494,322.9069611780455,52.40186865927995,215,280.0,312.0,375.0,420,PVAL_72_S8
195,4173,347.9928109273904,45.6200905482638,212,314.0,348.0,384.0,448,PVAL_72_S8
196,4227,348.02129169623845,45.51902418382081,212,314.0,348.0,384.0,448,PVAL_72_S8
197,2805,346.83529411764704,48.877827786977704,212,312.0,344.0,390.0,448,PVAL_72_S8
198,2883,332.57752341311135,41.33559369199795,212,304.0,331.0,367.0,421,PVAL_72_S8
199,2271,301.8687802730075,38.26438801990752,167,278.0,302.0,328.0,392,PVAL_72_S8
200,1977,301.95245321193727,39.477018442663955,167,277.0,302.0,329.0,392,PVAL_72_S8
201,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
202,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
203,2064,300.7533914728682,39.6829013475578,167,275.0,299.0,329.0,392,PVAL_72_S8
204,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
205,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
206,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
207,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
208,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
209,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
210,1548,307.2674418604651,38.86845931250145,167,287.0,304.5,336.0,392,PVAL_72_S8
211,1977,301.95245321193727,39.47701844266396,167,277.0,302.0,329.0,392,PVAL_72_S8
212,1248,303.93830128205127,34.63087804073509,167,287.0,302.0,327.0,383,PVAL_72_S8
213,1248,303.93830128205127,34.63087804073509,167,287.0,302.0,327.0,383,PVAL_72_S8
214,1248,303.93830128205127,34.63087804073509,167,287.0,302.0,327.0,383,PVAL_72_S8
215,1197,307.25563909774434,30.594168658144945,216,290.0,303.0,329.0,383,PVAL_72_S8
216,1197,307.25563909774434,30.594168658144945,216,290.0,303.0,329.0,383,PVAL_72_S8
217,1197,307.25563909774434,30.594168658144945,216,290.0,303.0,329.0,383,PVAL_72_S8
218,1197,307.25563909774434,30.594168658144945,216,290.0,303.0,329.0,383,PVAL_72_S8
219,2178,301.65794306703395,38.98998238647263,167,277.0,301.0,330.0,392,PVAL_72_S8
220,2172,303.2136279926335,38.41514170495296,167,279.0,304.0,330.0,392,PVAL_72_S8
221,2106,300.9553656220323,38.395539900625906,167,277.0,300.0,327.0,392,PVAL_72_S8
222,2805,283.3832442067736,46.95336037068107,114,251.0,284.0,322.0,399,PVAL_72_S8
223,2607,284.2930571538166,47.51241750819401,114,251.0,284.0,324.0,399,PVAL_72_S8
224,4083,344.7893705608621,77.14088115894215,69,318.5,367.0,395.0,456,PVAL_72_S8
225,3693,351.2772813430815,75.22540714943047,76,337.0,373.0,398.0,456,PVAL_72_S8
226,3177,367.67044381491974,49.35318390486372,194,352.0,378.0,401.0,456,PVAL_72_S8
227,3177,367.67044381491974,49.35318390486372,194,352.0,378.0,401.0,456,PVAL_72_S8
228,1566,356.602809706258,53.569488166194446,205,330.0,357.0,387.0,462,PVAL_72_S8
229,1569,356.58508604206503,53.51975419091996,205,330.0,357.0,387.0,462,PVAL_72_S8
230,1566,356.602809706258,53.569488166194446,205,330.0,357.0,387.0,462,PVAL_72_S8
231,1566,356.602809706258,53.569488166194446,205,330.0,357.0,387.0,462,PVAL_72_S8
232,1650,353.8048484848485,53.862531720620346,205,325.25,354.5,385.0,462,PVAL_72_S8
233,1611,355.2352576039727,53.46430769329235,205,328.0,356.0,386.0,462,PVAL_72_S8
234,1599,355.6635397123202,53.55654483437587,205,329.0,356.0,386.0,462,PVAL_72_S8
235,1290,360.07209302325583,57.14002437732098,205,330.0,363.0,393.0,462,PVAL_72_S8
236,1566,356.602809706258,53.569488166194446,205,330.0,357.0,387.0,462,PVAL_72_S8
237,1290,360.07209302325583,57.14002437732098,205,330.0,363.0,393.0,462,PVAL_72_S8
238,1221,361.5274365274365,58.38442647501699,205,329.0,365.0,396.0,462,PVAL_72_S8
239,1221,361.5274365274365,58.38442647501698,205,329.0,365.0,396.0,462,PVAL_72_S8
240,1641,354.3619744058501,53.4794523295181,205,327.0,355.0,386.0,462,PVAL_72_S8
241,1362,376.17254038179146,55.615257878554104,215,347.0,368.0,415.0,494,PVAL_72_S8
242,1365,376.03882783882784,55.62712938442642,215,346.0,368.0,415.0,494,PVAL_72_S8
243,1395,229.40143369175627,127.03121883019128,6,105.5,281.0,335.0,386,PVAL_72_S8
244,762,290.0209973753281,59.998966964847625,149,253.0,290.0,339.0,386,PVAL_72_S8
245,339,258.59882005899703,61.33021108314424,149,219.5,265.0,312.0,348,PVAL_72_S8
246,1395,229.40143369175627,127.03121883019128,6,105.5,281.0,335.0,386,PVAL_72_S8
247,570,316.4421052631579,56.24717277759127,116,293.0,332.0,356.0,388,PVAL_72_S8
248,2283,287.43802014892685,46.58046471629788,118,257.5,295.0,324.0,370,PVAL_72_S8
249,2373,269.15297092288245,73.71845931876076,17,242.0,286.0,322.0,370,PVAL_72_S8
250,2391,270.0271852781263,74.12375503045304,17,242.0,288.0,323.0,391,PVAL_72_S8
251,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
252,2469,344.97974888618876,44.84004972948209,239,313.0,341.0,381.0,440,PVAL_72_S8
253,1662,343.0300842358604,48.80488926334481,239,308.0,337.0,387.0,440,PVAL_72_S8
254,1614,344.64684014869886,48.57342885394352,239,311.0,338.0,389.0,440,PVAL_72_S8
255,1395,338.4279569892473,47.91605157286933,239,306.0,334.0,365.0,440,PVAL_72_S8
256,2469,344.97974888618876,44.84004972948209,239,313.0,341.0,381.0,440,PVAL_72_S8
257,2469,344.97974888618876,44.84004972948209,239,313.0,341.0,381.0,440,PVAL_72_S8
258,2433,346.3592272914098,43.6952949117979,239,315.0,341.0,382.0,440,PVAL_72_S8
259,2001,349.5487256371814,43.94930886402182,239,318.0,346.0,387.0,440,PVAL_72_S8
260,2049,348.1224987798926,44.42253315115596,239,316.0,345.0,386.0,440,PVAL_72_S8
261,1662,343.0300842358604,48.804889263344805,239,308.0,337.0,387.0,440,PVAL_72_S8
262,1614,344.64684014869886,48.57342885394352,239,311.0,338.0,389.0,440,PVAL_72_S8
263,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
264,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
265,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
266,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
267,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
268,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
269,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
270,1395,338.4279569892473,47.91605157286933,239,306.0,334.0,365.0,440,PVAL_72_S8
271,1416,337.4816384180791,48.27172443499953,239,302.0,334.0,364.0,440,PVAL_72_S8
272,1434,337.7329149232915,47.53379600900349,239,304.0,334.0,363.0,440,PVAL_72_S8
273,1434,337.7329149232915,47.53379600900348,239,304.0,334.0,363.0,440,PVAL_72_S8
274,966,343.68633540372673,48.3309184515491,239,311.0,336.0,375.0,440,PVAL_72_S8
275,966,343.68633540372673,48.3309184515491,239,311.0,336.0,375.0,440,PVAL_72_S8
276,966,343.68633540372673,48.3309184515491,239,311.0,336.0,375.0,440,PVAL_72_S8
277,2517,343.90584028605485,45.09378446654286,239,312.0,339.0,378.0,440,PVAL_72_S8
278,1839,278.18923327895595,61.06267025794868,73,259.0,290.0,320.0,378,PVAL_72_S8
279,2520,291.95873015873013,59.6309934704207,73,272.0,304.0,331.0,392,PVAL_72_S8
280,2454,293.5203748981255,59.43129199079133,73,273.0,305.0,333.0,392,PVAL_72_S8
281,1704,279.51525821596243,62.92456315183069,73,262.0,295.0,322.0,378,PVAL_72_S8
282,1854,303.5992448759439,32.5758464793985,215,279.0,305.0,328.0,378,PVAL_72_S8
283,2520,291.95873015873013,59.6309934704207,73,272.0,304.0,331.0,392,PVAL_72_S8
284,2478,293.3361581920904,59.173915478038246,73,273.0,305.0,332.0,392,PVAL_72_S8
285,2454,293.5203748981255,59.43129199079134,73,273.0,305.0,333.0,392,PVAL_72_S8
286,1839,278.18923327895595,61.06267025794868,73,259.0,290.0,320.0,378,PVAL_72_S8
287,1815,278.23801652892564,61.461299019873564,73,258.0,292.0,320.0,378,PVAL_72_S8
288,2478,293.3361581920904,59.17391547803824,73,273.0,305.0,332.0,392,PVAL_72_S8
289,3561,329.96517832069645,49.08689177788116,191,296.0,332.0,366.0,452,PVAL_72_S8
290,2424,337.3832508250825,42.14197335527027,223,305.0,340.5,369.0,426,PVAL_72_S8
291,3345,335.09925261584453,60.839681299407694,0,313.0,342.0,371.0,426,PVAL_72_S8
292,3270,341.61559633027525,39.75190653270296,223,315.0,343.0,372.0,426,PVAL_72_S8
293,3309,341.20822000604414,39.708557128088025,223,314.0,342.0,371.0,426,PVAL_72_S8
294,3270,341.61559633027525,39.75190653270296,223,315.0,343.0,372.0,426,PVAL_72_S8
295,3207,330.62051761771124,48.077556034414656,205,297.0,326.0,362.0,447,PVAL_72_S8
296,2589,318.37813827732714,56.8654313336985,171,270.0,320.0,372.0,428,PVAL_72_S8
