name	depth	num_bases_at_depth	size_of_feature	pros_of_A_at_depth
all	202	546	971256	5.622e-4
all	203	745	971256	7.67e-4
all	204	600	971256	6.178e-4
all	205	823	971256	8.474e-4
all	206	828	971256	8.525e-4
all	207	780	971256	8.031e-4
all	208	720	971256	7.413e-4
all	209	839	971256	8.638e-4
all	210	669	971256	6.888e-4
all	211	664	971256	6.837e-4
all	212	629	971256	6.476e-4
all	213	633	971256	6.517e-4
all	214	695	971256	7.156e-4
all	215	707	971256	7.279e-4
all	216	754	971256	7.763e-4
all	217	849	971256	8.741e-4
all	218	904	971256	9.308e-4
all	219	848	971256	8.731e-4
all	220	831	971256	8.556e-4
all	221	800	971256	8.237e-4
all	222	844	971256	8.69e-4
all	223	664	971256	6.837e-4
all	224	752	971256	7.743e-4
all	225	717	971256	0.00073820000000000005
all	226	722	971256	7.434e-4
all	227	922	971256	9.493e-4
all	228	979	971256	0.001008
all	229	988	971256	0.0010172
all	230	995	971256	0.0010244
all	231	1056	971256	0.0010873
all	232	769	971256	7.918e-4
all	233	1103	971256	0.0011356
all	234	1041	971256	0.0010718
all	235	904	971256	9.308e-4
all	236	929	971256	9.565e-4
all	237	1085	971256	0.0011171
all	238	1064	971256	0.0010955
all	239	964	971256	9.925e-4
all	240	1033	971256	0.0010636
all	241	1016	971256	0.0010461
all	242	942	971256	9.699e-4
all	243	1033	971256	0.0010636
all	244	1031	971256	0.0010615
all	245	1074	971256	0.0011058
all	246	1077	971256	0.0011089
all	247	1175	971256	0.0012098
all	248	1045	971256	0.0010759
all	249	1318	971256	0.001357
all	250	1131	971256	0.0011645
all	251	1193	971256	0.0012283
all	252	1455	971256	0.0014981
all	253	1386	971256	0.001427
all	254	1332	971256	0.0013714
all	255	1466	971256	0.0015094
all	256	1298	971256	0.0013364
all	257	1396	971256	0.0014373
all	258	1328	971256	0.0013673
all	259	1480	971256	0.0015238
all	260	1290	971256	0.0013282
all	261	1593	971256	0.0016401
all	262	1271	971256	0.0013086
all	263	1270	971256	0.0013076
all	264	1187	971256	0.0012221
all	265	1233	971256	0.0012695
all	266	1376	971256	0.0014167
all	267	1626	971256	0.0016741
all	268	1576	971256	0.0016226
all	269	1773	971256	0.0018255
all	270	1487	971256	0.001531
all	271	1549	971256	0.0015948
all	272	1735	971256	0.0017863
all	273	1655	971256	0.001704
all	274	1618	971256	0.0016659
all	275	1862	971256	0.0019171
all	276	1883	971256	0.0019387
all	277	1610	971256	0.0016576
all	278	2054	971256	0.0021148
all	279	1815	971256	0.0018687
all	280	2116	971256	0.0021786
all	281	2311	971256	0.0023794
all	282	2244	971256	0.0023104
all	283	1860	971256	0.001915
all	284	2065	971256	0.0021261
all	285	2209	971256	0.0022744
all	286	2031	971256	0.0020911
all	287	2039	971256	0.0020993
all	288	2028	971256	0.002088
all	289	1934	971256	0.0019912
all	290	2131	971256	0.0021941
all	291	2125	971256	0.0021879
all	292	2320	971256	0.0023887
all	293	2384	971256	0.0024546
all	294	2608	971256	0.0026852
all	295	2568	971256	0.002644
all	296	2213	971256	0.0022785
all	297	2195	971256	0.00226
all	298	2047	971256	0.0021076
all	299	2451	971256	0.0025235
all	300	2237	971256	0.0023032
all	301	2287	971256	0.0023547
all	302	2635	971256	0.002713
all	303	2522	971256	0.0025966
all	304	2491	971256	0.0025647
all	305	2556	971256	0.0026316
all	306	2491	971256	0.0025647
all	307	2437	971256	0.0025091
all	308	2309	971256	0.0023773
all	309	2309	971256	0.0023773
all	310	2272	971256	0.0023392
all	311	2280	971256	0.0023475
all	312	2280	971256	0.0023475
all	313	2265	971256	0.002332
all	314	2477	971256	0.0025503
all	315	2522	971256	0.0025966
all	316	2248	971256	0.0023145
all	317	2346	971256	0.0024154
all	318	2154	971256	0.0022177
all	319	2278	971256	0.0023454
all	320	2426	971256	0.0024978
all	321	2753	971256	0.0028345
all	322	2239	971256	0.0023053
all	323	2527	971256	0.0026018
all	324	2782	971256	0.0028643
all	325	2879	971256	0.0029642
all	326	2533	971256	0.002608
all	327	2692	971256	0.0027717
all	328	2576	971256	0.0026522
all	329	2286	971256	0.0023537
all	330	2667	971256	0.0027459
all	331	2423	971256	0.0024947
all	332	2520	971256	0.0025946
all	333	2383	971256	0.0024535
all	334	2598	971256	0.0026749
all	335	2044	971256	0.0021045
all	336	2127	971256	0.0021899
all	337	2187	971256	0.0022517
all	338	2062	971256	0.002123
all	339	2344	971256	0.0024134
all	340	2298	971256	0.002366
all	341	2217	971256	0.0022826
all	342	2162	971256	0.002226
all	343	2059	971256	0.0021199
all	344	2083	971256	0.0021446
all	345	2150	971256	0.0022136
all	346	1932	971256	0.0019892
all	347	1953	971256	0.0020108
all	348	1910	971256	0.0019665
all	349	1798	971256	0.0018512
all	350	1850	971256	0.0019048
all	351	2027	971256	0.002087
all	352	2136	971256	0.0021992
all	353	2016	971256	0.0020757
all	354	1754	971256	0.0018059
all	355	1868	971256	0.0019233
all	356	1790	971256	0.001843
all	357	1919	971256	0.0019758
all	358	2144	971256	0.0022075
all	359	2048	971256	0.0021086
all	360	2412	971256	0.0024834
all	361	2019	971256	0.0020788
all	362	2513	971256	0.0025874
all	363	2239	971256	0.0023053
all	364	2225	971256	0.0022908
all	365	2261	971256	0.0023279
all	366	2101	971256	0.0021632
all	367	2282	971256	0.0023495
all	368	2353	971256	0.0024226
all	369	1999	971256	0.0020582
all	370	1753	971256	0.0018049
all	371	2183	971256	0.0022476
all	372	2022	971256	0.0020818
all	373	1942	971256	0.0019995
all	374	1994	971256	0.002053
all	375	2052	971256	0.0021127
all	376	2264	971256	0.002331
all	377	2000	971256	0.0020592
all	378	1968	971256	0.0020262
all	379	1852	971256	0.0019068
all	380	2091	971256	0.0021529
all	381	2086	971256	0.0021477000000000002
all	382	2085	971256	0.0021467
all	383	2201	971256	0.0022661
all	384	2238	971256	0.0023042
all	385	1880	971256	0.0019356
all	386	2292	971256	0.0023598
all	387	2198	971256	0.002263
all	388	1917	971256	0.0019737
all	389	1873	971256	0.0019284
all	390	1846	971256	0.0019006
all	391	1698	971256	0.0017483
all	392	1870	971256	0.0019253
all	393	1896	971256	0.0019521
all	394	1662	971256	0.0017112
all	395	1770	971256	0.0018224
all	396	1813	971256	0.0018667
all	397	1684	971256	0.0017338
all	398	1849	971256	0.0019037
all	399	1811	971256	0.0018646
all	400	1913	971256	0.0019696
all	401	1752	971256	0.0018038
all	402	2016	971256	0.0020757
all	403	1849	971256	0.0019037
all	404	2077	971256	0.0021385
all	405	2329	971256	0.0023979
all	406	1978	971256	0.0020365
all	407	2122	971256	0.0021848
all	408	2148	971256	0.0022116
all	409	1940	971256	0.0019974
all	410	1865	971256	0.0019202
all	411	1806	971256	0.0018594
all	412	1822	971256	0.0018759
all	413	2180	971256	0.0022445
all	414	1818	971256	0.0018718
all	415	2038	971256	0.0020983
all	416	1757	971256	0.001809
all	417	1876	971256	0.0019315
all	418	1706	971256	0.0017565
all	419	1931	971256	0.0019881
all	420	1724	971256	0.001775
all	421	1827	971256	0.0018811
all	422	1587	971256	0.001634
all	423	1763	971256	0.0018152
all	424	1678	971256	0.0017277
all	425	1851	971256	0.0019058
all	426	1788	971256	0.0018409
all	427	1756	971256	0.001808
all	428	1709	971256	0.0017596
all	429	1843	971256	0.0018975
all	430	1774	971256	0.0018265
all	431	1623	971256	0.001671
all	432	1612	971256	0.0016597
all	433	1625	971256	0.0016731
all	434	1776	971256	0.0018286
all	435	1646	971256	0.0016947
all	436	1730	971256	0.0017812
all	437	1829	971256	0.0018831
all	438	1692	971256	0.0017421
all	439	1745	971256	0.0017966
all	440	1444	971256	0.0014867
all	441	1868	971256	0.0019233
all	442	1615	971256	0.0016628
all	443	1440	971256	0.0014826
all	444	1611	971256	0.0016587
all	445	1634	971256	0.0016824
all	446	1427	971256	0.0014692
all	447	1462	971256	0.0015053
all	448	1638	971256	0.0016865
all	449	1848	971256	0.0019027
all	450	1581	971256	0.0016278
all	451	1742	971256	0.0017936
all	452	1409	971256	0.0014507
all	453	1623	971256	0.001671
all	454	1438	971256	0.0014806
all	455	1314	971256	0.0013529
all	456	1376	971256	0.0014167
all	457	1341	971256	0.0013807
all	458	1270	971256	0.0013076
all	459	1371	971256	0.0014116
all	460	1227	971256	0.0012633
all	461	1404	971256	0.0014456
all	462	1164	971256	0.0011984
all	463	1382	971256	0.0014229
all	464	1429	971256	0.0014713
all	465	1378	971256	0.0014188
all	466	1581	971256	0.0016278
all	467	1451	971256	0.0014939
all	468	1679	971256	0.0017287
all	469	1730	971256	0.0017812
all	470	1521	971256	0.001566
all	471	1425	971256	0.0014672
all	472	1178	971256	0.0012129
all	473	1299	971256	0.0013374
all	474	1120	971256	0.0011531
all	475	1532	971256	0.0015773
all	476	1552	971256	0.0015979
all	477	1505	971256	0.0015495
all	478	1396	971256	0.0014373
all	479	1506	971256	0.0015506
all	480	1541	971256	0.0015866
all	481	1372	971256	0.0014126
all	482	1171	971256	0.0012057
all	483	1496	971256	0.0015403
all	484	1325	971256	0.0013642
all	485	1535	971256	0.0015804
all	486	1450	971256	0.0014929
all	487	1210	971256	0.0012458
all	488	1272	971256	0.0013096
all	489	1408	971256	0.0014497
all	490	1304	971256	0.0013426
all	491	1154	971256	0.0011882
all	492	1296	971256	0.0013344
all	493	1300	971256	0.0013385
all	494	1355	971256	0.0013951
all	495	1460	971256	0.0015032
all	496	1280	971256	0.0013179
all	497	1322	971256	0.0013611
all	498	1281	971256	0.0013189
all	499	1348	971256	0.0013879
all	500	1718	971256	0.0017688
all	501	1657	971256	0.001706
all	502	1310	971256	0.0013488
all	503	1474	971256	0.0015176
all	504	1260	971256	0.0012973
all	505	1239	971256	0.0012757
